Firstseen,DstIP,DstPort
2020-08-10 21:58:27,194.5.97.33,5200
2020-08-10 19:20:52,128.90.115.237,3468
2020-08-10 17:36:17,45.66.250.145,443
2020-08-10 12:13:14,45.143.223.34,3218
2020-08-09 23:45:49,185.157.162.81,9980
2020-08-09 08:17:49,185.140.53.9,7003
2020-08-08 08:29:56,192.119.80.53,4576
2020-08-07 11:39:30,23.163.0.37,443
2020-08-06 20:19:58,185.140.53.7,2786
2020-08-06 12:05:07,161.35.174.89,443
2020-08-06 11:49:58,157.245.164.207,443
2020-08-06 11:41:20,103.89.91.6,20902
2020-08-06 10:07:21,79.134.225.84,3454
2020-08-06 08:43:32,185.165.153.32,8824
2020-08-05 22:42:01,185.165.153.209,1990
2020-08-04 18:37:55,185.157.162.81,20058
2020-08-04 18:07:48,45.11.19.57,443
2020-08-04 14:11:55,194.87.18.22,2382
2020-08-04 06:13:42,185.165.153.173,20986
2020-08-04 06:02:54,194.5.97.33,1616
2020-08-04 05:59:55,138.197.175.96,443
2020-08-03 13:18:09,194.5.249.199,443
2020-08-03 10:23:38,182.92.202.24,443
2020-08-03 07:07:08,194.5.97.11,27031
2020-08-02 23:41:51,194.5.249.11,443
2020-08-02 12:18:50,134.209.160.222,443
2020-08-02 08:57:22,160.20.145.14,6606
2020-08-02 02:26:07,109.248.11.131,443
2020-08-01 22:35:47,85.143.223.5,443
2020-07-31 14:06:49,89.40.181.108,443
2020-07-31 06:51:17,185.140.53.142,20986
2020-07-31 04:48:44,217.12.218.199,443
2020-07-30 16:31:13,206.189.164.25,443
2020-07-30 16:07:33,5.34.180.91,443
2020-07-30 05:14:20,160.20.145.14,7707
2020-07-29 07:40:04,185.19.85.155,2327
2020-07-29 02:59:34,185.165.153.116,7896
2020-07-28 23:20:47,79.134.225.55,9654
2020-07-28 21:04:21,159.89.174.73,443
2020-07-28 20:55:10,194.5.249.184,443
2020-07-28 19:53:26,217.195.153.131,6606
2020-07-28 10:49:17,79.134.225.51,2211
2020-07-28 08:52:35,87.251.70.44,443
2020-07-28 06:38:38,194.5.97.4,8824
2020-07-27 09:52:39,193.38.51.60,443
2020-07-27 07:14:25,51.15.136.48,443
2020-07-27 01:08:21,172.111.200.225,5842
2020-07-26 08:46:22,192.145.125.42,4430
2020-07-24 20:16:36,134.209.191.228,443
2020-07-24 17:21:47,111.90.146.85,1730
2020-07-24 17:13:59,185.33.86.54,443
2020-07-24 12:52:22,45.66.250.228,443
2020-07-24 09:10:25,193.161.193.99,30986
2020-07-24 08:59:45,194.187.249.152,443
2020-07-24 05:56:33,37.48.92.195,1104
2020-07-23 18:28:53,138.68.50.71,443
2020-07-23 17:49:01,194.5.249.122,443
2020-07-23 15:54:07,194.5.97.23,8824
2020-07-23 11:44:47,91.193.75.59,20058
2020-07-22 23:29:10,185.140.53.17,2211
2020-07-22 19:08:15,164.90.220.32,443
2020-07-22 08:37:20,185.140.53.217,2123
2020-07-22 05:46:02,216.230.73.22,443
2020-07-22 04:27:25,144.168.224.152,443
2020-07-21 21:45:16,45.66.250.229,443
2020-07-21 21:18:07,45.66.250.16,443
2020-07-21 19:04:10,37.49.230.113,1524
2020-07-21 19:04:10,37.49.230.113,3281
2020-07-21 11:43:28,194.5.97.58,20923
2020-07-21 11:33:49,37.120.146.7,443
2020-07-21 09:37:41,103.153.76.133,443
2020-07-21 07:56:47,51.75.155.78,8595
2020-07-20 23:34:46,95.211.170.243,1576
2020-07-20 12:46:43,157.230.17.102,443
2020-07-20 10:01:20,146.0.77.108,443
2020-07-20 09:45:29,172.94.47.80,4411
2020-07-20 08:39:29,82.102.28.107,62727
2020-07-20 01:32:20,194.5.98.81,3434
2020-07-19 11:33:33,116.203.55.94,443
2020-07-18 01:10:09,2.56.214.165,1234
2020-07-17 18:25:56,140.82.33.50,4784
2020-07-17 18:04:00,37.120.146.107,443
2020-07-17 17:07:31,161.35.100.78,443
2020-07-17 16:49:14,107.148.200.130,443
2020-07-17 15:12:52,193.161.193.99,46300
2020-07-17 12:41:25,45.153.240.101,443
2020-07-17 06:49:02,103.151.122.113,443
2020-07-17 05:20:29,194.5.98.95,6970
2020-07-16 21:20:00,178.238.8.65,5055
2020-07-16 17:51:45,194.5.249.158,443
2020-07-16 14:39:11,128.90.108.78,3468
2020-07-16 01:16:39,91.234.99.15,443
2020-07-15 22:42:20,139.59.56.38,443
2020-07-15 21:31:54,188.172.80.161,443
2020-07-15 15:38:48,128.90.108.74,3468
2020-07-15 13:03:44,63.209.33.1,25980
2020-07-14 07:58:09,185.140.53.130,6996
2020-07-13 15:40:59,128.90.108.26,3468
2020-07-13 06:41:21,51.161.96.106,3001
2020-07-13 01:12:15,23.254.118.153,443
2020-07-12 22:30:56,188.130.138.207,443
2020-07-12 11:36:00,142.202.240.110,443
2020-07-10 09:02:20,91.193.75.93,20987
2020-07-09 12:01:21,191.101.130.42,9931
2020-07-09 10:10:38,194.5.98.8,8824
2020-07-09 08:26:24,149.255.35.92,443
2020-07-09 00:58:03,206.123.129.103,5456
2020-07-07 08:25:50,185.140.53.11,9845
2020-06-16 05:50:49,185.140.53.161,7266
2020-06-13 12:23:06,185.140.53.219,1010
2020-06-08 13:38:43,185.70.184.88,443
2020-04-13 20:06:32,194.5.97.120,20986
2020-03-23 19:13:46,185.140.53.175,20804
2019-10-10 10:40:04,78.31.63.30,443
# END (114) entries